deal,rot,event,seat,team,kind,card,target,set,hit,ownLocked,oppLocked,truthHolder,dead,gateBound,searched,changed,nCand,nTie,nFeasible,p,margin,score,pAlloc,unresolved
1,1,83,1,1,0,14,4,2,1,0,0,4,0,0,0,0,9,3,0,0.283356,0.000000,13.351670,-1.000000,8
1,1,84,1,1,0,16,2,2,0,0,0,5,0,0,0,0,6,2,0,0.243656,0.000000,16.186680,-1.000000,7
1,1,93,3,1,0,19,0,3,1,0,0,0,0,0,0,0,5,2,0,1.000000,0.000000,15.084191,-1.000000,0
1,1,94,3,1,0,20,0,3,1,0,0,0,0,0,0,0,4,1,0,1.000000,1.777150,25.302475,-1.000000,0
1,1,95,3,1,0,18,4,3,1,0,0,4,0,0,0,0,3,3,0,1.000000,0.000000,24.334517,-1.000000,0
1,1,96,3,1,0,21,4,3,1,0,0,4,0,0,0,0,2,2,0,1.000000,0.000000,25.433371,-1.000000,0
1,1,97,3,1,0,22,4,3,1,0,0,4,0,0,0,0,0,0,0,-1.000000,0.000000,0.000000,-1.000000,0
1,1,98,1,1,1,-1,-1,3,1,1,0,-1,0,0,0,0,0,0,1,1.000000,0.000000,0.000000,1.000000,0
2,0,0,2,0,0,7,1,1,0,0,0,0,0,0,0,0,99,9,0,0.200000,0.000000,-0.386119,-1.000000,45
2,0,2,2,0,0,7,3,1,0,0,0,0,0,0,0,0,98,2,0,0.250000,0.000000,8.064977,-1.000000,45
2,0,6,2,0,0,6,3,1,1,0,0,3,0,0,0,0,98,3,0,1.000000,0.000000,18.052202,-1.000000,45
2,0,7,2,0,0,8,3,1,1,0,0,3,0,0,0,0,97,2,0,1.000000,0.000000,19.254108,-1.000000,45
2,0,8,2,0,0,11,3,1,1,0,0,3,0,0,0,0,96,1,0,1.000000,12.381074,21.570854,-1.000000,45
2,0,9,2,0,0,9,1,1,0,0,0,5,0,0,0,0,93,1,0,0.230884,0.038181,11.583769,-1.000000,44
2,0,11,0,0,0,9,5,1,1,0,0,5,0,0,0,0,88,1,0,0.500000,7.272703,14.029348,-1.000000,42
2,0,12,0,0,1,-1,-1,1,1,1,0,-1,0,0,0,0,41,0,32,1.000000,0.000000,0.000000,1.000000,41
2,0,13,0,0,0,28,5,4,1,0,0,5,0,0,0,0,84,6,0,0.207802,0.000000,0.520055,-1.000000,40
